iter	Logloss
0	0.6670517137
1	0.6473585206
2	0.6280435813
3	0.6101878971
4	0.595794266
5	0.5827177979
6	0.5717394104
7	0.5616797816
8	0.5511593788
9	0.5407173832
10	0.5330662215
11	0.526222989
12	0.5204550606
13	0.5122990032
14	0.5071715363
15	0.5012463593
16	0.4974705888
17	0.4941358245
18	0.4901841309
19	0.4872639695
20	0.4849113226
21	0.4820042853
22	0.4796099134
23	0.4778745493
24	0.4761274747
25	0.4735485615
26	0.4714452603
27	0.4700794565
28	0.4683480245
29	0.4672212066
30	0.4657619259
31	0.4642685038
32	0.4622957593
33	0.4610480168
34	0.4601409105
35	0.4589698421
36	0.4582102797
37	0.4575083594
38	0.456567027
39	0.4559437308
40	0.4542774649
41	0.452992236
42	0.4506771425
43	0.4500460213
44	0.4494334292
45	0.4475740728
46	0.4455787561
47	0.4451299883
48	0.4446388804
49	0.4442509452
50	0.443592237
51	0.4431524088
52	0.4427849766
53	0.4416099436
54	0.4412841252
55	0.4402601338
56	0.4398580406
57	0.4395257778
58	0.4393553263
59	0.439060278
60	0.4388262201
61	0.4386205066
62	0.4383611788
63	0.4372944132
64	0.4370572625
65	0.4368467937
66	0.4366363459
67	0.4364655354
68	0.4362335514
69	0.4359601305
70	0.4358446185
71	0.4353804172
72	0.4350387521
73	0.4347828354
74	0.4332891753
75	0.4323840135
76	0.4322353818
77	0.4320844614
78	0.4319140778
79	0.430535583
80	0.4304038193
81	0.4293809121
82	0.4286570608
83	0.4285451629
84	0.4281884451
85	0.4273691302
86	0.4272713257
87	0.426751498
88	0.426629544
89	0.4264402738
90	0.4262828537
91	0.4257189466
92	0.4255822492
93	0.4254270368
94	0.4252814495
95	0.4251678685
96	0.4245843026
97	0.4239456537
98	0.423798037
99	0.4236432104
100	0.4235109352
101	0.4233993413
102	0.4232757163
103	0.4231266551
104	0.4229204928
105	0.4228430156
106	0.422729343
107	0.4225840965
108	0.4223896736
109	0.4222954188
110	0.4221533017
111	0.4220280843
112	0.4219037664
113	0.421409734
114	0.4208977687
115	0.4207504916
116	0.4206471841
117	0.4203362073
118	0.4200726835
119	0.4195032955
120	0.4192004807
121	0.4191305991
122	0.4190356777
123	0.4188886865
124	0.418811845
125	0.418724081
126	0.4182509229
127	0.4181330814
128	0.4177357381
129	0.4176544811
130	0.4174656917
131	0.417332454
132	0.4169965464
133	0.4168962339
134	0.416731219
135	0.4166629037
136	0.416532356
137	0.4164491442
138	0.4163328064
139	0.4162504693
140	0.4161391538
141	0.4160868522
142	0.4159812272
143	0.4158617528
144	0.4157697446
145	0.4156668323
146	0.4155800437
147	0.4154937645
148	0.4154227287
149	0.4153488674
150	0.4152246662
151	0.4151356798
152	0.415029292
153	0.4148998771
154	0.4147797284
155	0.4146190112
156	0.4145394114
157	0.4144858765
158	0.4143963497
159	0.4142895086
160	0.4141925731
161	0.4140957555
162	0.4137952442
163	0.4136422464
164	0.4135722101
165	0.4134359347
166	0.4133825623
167	0.4132016218
168	0.4131349265
169	0.413034248
170	0.4128777745
171	0.412795002
172	0.4127374616
173	0.4126449063
174	0.4125770258
175	0.4125049549
176	0.4124302254
177	0.4122549016
178	0.412208098
179	0.4119879194
180	0.4119247128
181	0.4116043359
182	0.4114815689
183	0.4113990317
184	0.4113488909
185	0.4112695934
186	0.4112040765
187	0.4111049134
188	0.4110168872
189	0.4109401523
190	0.4108684177
191	0.4108222842
192	0.4105757777
193	0.4105211546
194	0.4104307906
195	0.4103580088
196	0.4102613888
197	0.4101422125
198	0.4100668105
199	0.4099934093
200	0.4099251025
201	0.4098567295
202	0.4097735664
203	0.4096961596
204	0.4096561955
205	0.4095603924
206	0.4094492072
207	0.4093644649
208	0.4092588098
209	0.409183038
210	0.4091253124
211	0.4090745748
212	0.4089819387
213	0.4089151787
214	0.4087425877
215	0.4086474712
216	0.408586172
217	0.4084723748
218	0.4083774568
219	0.4083153746
220	0.4082174377
221	0.4080867847
222	0.4080117091
223	0.4077623012
224	0.407703278
225	0.4076224743
226	0.407576313
227	0.4075667167
228	0.4074911408
229	0.4073936369
230	0.407382564
231	0.407300654
232	0.4072922739
233	0.407194119
234	0.4071174272
235	0.4070058816
236	0.4069260388
237	0.4068219396
238	0.4067082772
239	0.4066344411
240	0.4065357666
241	0.4064458871
242	0.4063332984
243	0.4062387862
244	0.4061842571
245	0.4060355221
246	0.4059652329
247	0.4058631145
248	0.405816957
249	0.4057239134
250	0.4057113883
