iter	Passed	Remaining
0	9	9615
1	19	9499
2	28	9308
3	36	9212
4	46	9293
5	57	9448
6	66	9467
7	75	9383
8	85	9431
9	95	9436
10	104	9370
11	112	9278
12	122	9268
13	132	9317
14	141	9313
15	151	9330
16	176	10198
17	186	10148
18	194	10052
19	203	9960
20	212	9916
21	222	9906
22	232	9895
23	242	9876
24	252	9866
25	261	9810
26	271	9788
27	282	9802
28	291	9759
29	301	9760
30	311	9742
31	321	9728
32	331	9720
33	341	9699
34	351	9688
35	361	9679
36	371	9678
37	382	9681
38	392	9671
39	403	9677
40	414	9692
41	424	9685
42	435	9689
43	446	9695
44	456	9697
45	467	9698
46	478	9697
47	487	9677
48	500	9717
49	512	9731
50	522	9723
51	534	9736
52	545	9741
53	556	9751
54	567	9754
55	578	9748
56	589	9747
57	599	9742
58	610	9735
59	620	9728
60	631	9726
61	641	9711
62	652	9709
63	663	9705
64	674	9697
65	684	9692
66	695	9685
67	705	9675
68	716	9669
69	727	9663
70	737	9650
71	748	9644
72	760	9660
73	772	9667
74	784	9672
75	794	9663
76	805	9653
77	815	9637
78	826	9631
79	836	9617
80	846	9606
81	857	9604
82	868	9597
83	878	9581
84	889	9571
85	899	9559
86	909	9549
87	920	9539
88	931	9534
89	941	9522
90	951	9508
91	962	9499
92	971	9478
93	982	9465
94	992	9459
95	1003	9445
96	1013	9435
97	1024	9429
98	1035	9426
99	1047	9428
100	1058	9419
101	1068	9405
102	1078	9396
103	1095	9438
104	1106	9431
105	1117	9421
106	1127	9409
107	1137	9398
108	1148	9384
109	1158	9374
110	1169	9364
111	1178	9347
112	1189	9336
113	1199	9322
114	1210	9312
115	1220	9303
116	1231	9291
117	1241	9281
118	1252	9274
119	1263	9265
120	1274	9255
121	1284	9242
122	1294	9233
123	1305	9221
124	1315	9210
125	1326	9200
126	1337	9191
127	1347	9177
128	1357	9163
129	1367	9150
130	1377	9140
131	1388	9132
132	1399	9123
133	1410	9113
134	1420	9102
135	1430	9090
136	1441	9081
137	1452	9074
138	1463	9065
139	1474	9055
140	1485	9048
141	1495	9038
142	1506	9026
143	1516	9016
144	1527	9009
145	1539	9004
146	1550	8994
147	1561	8986
148	1572	8979
149	1582	8968
150	1593	8958
151	1603	8947
152	1613	8934
153	1624	8925
154	1635	8914
155	1646	8905
156	1657	8897
157	1667	8886
158	1680	8891
159	1693	8888
160	1703	8876
161	1713	8864
162	1724	8855
163	1734	8843
164	1744	8830
165	1755	8819
166	1765	8807
167	1776	8797
168	1786	8785
169	1797	8774
170	1807	8762
171	1817	8751
172	1827	8737
173	1838	8728
174	1849	8719
175	1859	8706
176	1870	8696
177	1880	8685
178	1890	8672
179	1901	8661
180	1911	8649
181	1923	8645
182	1934	8635
183	1944	8623
184	1955	8613
185	1964	8599
186	1975	8588
187	1985	8577
188	1996	8566
189	2006	8554
190	2017	8546
191	2027	8532
192	2038	8524
193	2049	8515
194	2060	8506
195	2070	8494
196	2081	8484
197	2091	8471
198	2101	8459
199	2111	8447
200	2122	8436
201	2132	8426
202	2143	8414
203	2153	8402
204	2164	8392
205	2174	8379
206	2184	8368
207	2194	8357
208	2205	8345
209	2215	8334
210	2225	8321
211	2236	8314
212	2247	8303
213	2259	8298
214	2272	8296
215	2283	8286
216	2293	8275
217	2303	8263
218	2314	8253
219	2324	8241
220	2334	8228
221	2344	8216
222	2354	8203
223	2364	8191
224	2375	8181
225	2386	8171
226	2396	8160
227	2406	8147
228	2417	8138
229	2427	8127
230	2439	8119
231	2450	8111
232	2461	8101
233	2471	8090
234	2481	8078
235	2492	8068
236	2502	8056
237	2513	8046
238	2523	8035
239	2533	8023
240	2545	8016
241	2556	8007
242	2567	7997
243	2578	7988
244	2591	7986
245	2601	7975
246	2612	7965
247	2622	7952
248	2633	7942
249	2644	7932
250	2653	7919
251	2663	7905
252	2673	7894
253	2683	7882
254	2694	7871
255	2704	7858
256	2714	7848
257	2725	7837
258	2735	7826
259	2745	7815
260	2756	7804
261	2766	7792
262	2776	7781
263	2786	7769
264	2797	7758
265	2807	7747
266	2817	7735
267	2828	7725
268	2839	7716
269	2852	7712
270	2865	7707
271	2875	7696
272	2885	7683
273	2895	7671
274	2905	7660
275	2915	7648
276	2925	7637
277	2935	7624
278	2945	7612
279	2955	7600
280	2965	7588
281	2975	7576
282	2985	7564
283	2995	7553
284	3006	7542
285	3016	7530
286	3027	7520
287	3038	7511
288	3048	7500
289	3059	7490
290	3070	7481
291	3080	7468
292	3090	7456
293	3100	7445
294	3111	7435
295	3121	7424
296	3131	7412
297	3142	7401
298	3151	7389
299	3161	7377
300	3171	7366
301	3181	7353
302	3191	7341
303	3201	7330
304	3211	7318
305	3221	7306
306	3232	7296
307	3242	7285
308	3253	7275
309	3263	7262
310	3273	7251
311	3283	7240
312	3293	7229
313	3303	7217
314	3313	7206
315	3324	7195
316	3334	7184
317	3344	7172
318	3354	7161
319	3365	7150
320	3375	7139
321	3385	7128
322	3395	7116
323	3405	7104
324	3415	7092
325	3425	7082
326	3439	7078
